Funds,Classification,Fund Manager,Fund Type,Benchmark Index,AUM(In Rs. Cr),Expenseratio (%),NAV,Return (%)1 Yr,Return (%)3 Yrs,Return (%)5 Yrs,Return (%)10 Yrs,Turnover Ratio (%),Avg. Market Cap(In Rs. Cr),Avg. Maturity(In Yrs),Modified Duration(In Yrs),Yield To Maturity (%),Alpha,Sharpe,Sortino,Beta,Standard Deviation,Fund Age (Years)
Sundaram Banking & PSU Fund(G),Debt : Banking & PSU,Sandeep Agarwal,Open Ended,NIFTY Banking and PSU Debt Index,352.7,0.42,42.73,9.61,7.02,5.97,6.79,0.0,160311,5.02,3.41,7.1,0.15,0.57,0.86,1.44,1.38,20
Sundaram Business Cycle FundNAReg(G),Equity : Thematic,Ratish Varier,Open Ended,NIFTY 500 NA TRI,1604.6,2.11,10.29,8.43,12.555,15.835,10.335,27.7,72482,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
Sundaram Conservative Hybrid Fund(G),Hybrid : Debt Oriented (Conservative),Dwijendra Srivastava,Open Ended,CRISIL Hybrid 85+15 NA Conservative Index,27.1,2.19,29.67,8.84,8.11,9.6,7.14,0.0,467481,16.6,7.77,6.88,0.15,0.27,0.62,1.0,3.74,15
Sundaram Consumption Fund(G),Equity : Thematic NA Consumption,Ratish Varier,Open Ended,Nifty India Consumption NA TRI,1445.3,2.21,94.16,12.45,18.22,21.58,14.28,25.5,167268,3.105,2.595,7.065,0.07,0.26,0.51,0.91,14.51,18
Sundaram Corp Bond Fund(G),Debt : Corporate Bond,Dwijendra Srivastava,Open Ended,NIFTY Corporate Bond Index,698.9,0.52,39.86,9.72,6.89,6.59,7.41,0.0,160311,5.98,3.84,7.15,0.12,0.67,0.91,0.28,1.16,20
Sundaram Diversified Equity(G),Equity : Tax Saving (ELSS),Sudhir Kedia,Open Ended,NIFTY 500 NA TRI,1427.8,2.23,211.0,6.73,13.4,21.43,11.51,30.7,250179,3.105,2.595,7.065,0.15,0.18,0.35,0.88,13.2,19
Sundaram Dividend Yield Fund(G),Equity : Thematic NA Dividend Yield,Ratish Varier,Open Ended,NIFTY 500 NA TRI,862.6,2.33,131.23,2.84,15.97,22.27,14.24,55.4,264202,3.105,2.595,7.065,0.15,0.23,0.45,0.89,13.47,20
Sundaram ELSS Tax Saver FundNAReg(G),Equity : Tax Saving (ELSS),Sudhir Kedia,Open Ended,NIFTY 500 NA TRI,1288.2,2.25,486.11,6.22,14.76,22.89,13.55,33.7,173546,3.105,2.595,7.065,0.04,0.2,0.39,0.88,13.14,29
Sundaram Equity Savings Fund(G),Hybrid : Equity Oriented,Sudhir Kedia,Open Ended,NIFTY 50 Equity Savings Index,976.1,2.2,68.59,8.02,11.01,14.21,9.29,68.8,344771,4.24,3.03,6.93,0.18,0.3,0.64,0.91,5.86,22
Sundaram Fin Serv Opp Fund(G),Equity : Sectoral NA Financial Services,Rohit Seksaria,Open Ended,Nifty Financial Services NA TRI,1415.2,2.15,101.77,11.1,21.33,23.86,13.63,74.4,183368,3.105,2.595,7.065,0.38,0.27,0.58,0.92,15.29,16
Sundaram Flexi Cap FundNAReg(G),Equity : Flexi Cap,Sudhir Kedia,Open Ended,NIFTY 500 NA TRI,1956.7,2.3,14.04,8.05,12.555,15.835,10.335,29.7,229321,3.105,2.595,7.065,0.15,0.24,0.5,0.87,11.72,2
Sundaram Focused Fund(G),Equity : Flexi Cap,S. Bharath,Open Ended,NIFTY 500 NA TRI,1043.9,2.3,152.6,3.7,12.86,20.06,12.91,69.1,243397,3.105,2.595,7.065,0.15,0.15,0.27,0.96,14.44,19
Sundaram Infra Advantage Fund(G),Equity : Sectoral NA Infrastructure,Ashish Aggarwal,Open Ended,Nifty Infrastructure NA TRI,882.0,2.49,88.0,1.49,19.93,29.36,13.6,37.1,145828,3.105,2.595,7.065,0.02,0.25,0.48,0.97,16.75,19
Sundaram Large and Mid Cap Fund(G),Equity : Large & Mid Cap,S. Bharath,Open Ended,NIFTY LargeMidcap 250 NA TRI,6381.0,1.83,80.94,6.99,14.96,23.11,13.91,35.0,166845,3.105,2.595,7.065,0.15,0.18,0.34,0.98,15.19,18
Sundaram Large Cap FundNAReg(G),Equity : Large Cap,Ashwin Jain,Open Ended,NIFTY 100 NA TRI,3297.4,1.93,20.68,4.94,12.96,15.835,10.335,34.3,384726,3.105,2.595,7.065,0.15,0.17,0.33,0.91,12.75,4
Sundaram Liquid Fund(G),Debt : Liquid,Dwijendra Srivastava,Open Ended,Nifty Liquid Fund Index,5477.4,0.4,2279.41,7.23,6.79,5.36,5.23,0.0,160311,0.17,0.17,7.06,0.16,2.46,0.96,0.28,0.3,20
Sundaram Low Duration Fund(G),Debt : Low Duration,Sandeep Agarwal,Open Ended,NIFTY Low Duration Debt Index,342.0,1.24,3425.71,7.75,6.51,6.63,4.46,0.0,160311,1.1,0.97,7.53,0.09,1.22,0.88,0.56,0.56,20
Sundaram Medium Duration Fund(G),Debt : Medium Duration,Dwijendra Srivastava,Open Ended,NIFTY Medium Duration Debt Index,42.8,2.19,68.74,8.21,5.47,4.69,5.57,0.0,160311,5.06,3.79,6.89,0.15,0.19,0.33,0.58,1.86,27
Sundaram Mid Cap FundNAReg(G),Equity : Mid Cap,S. Bharath,Open Ended,Nifty Midcap 150 NA TRI,11332.7,1.74,1272.36,11.59,22.14,28.64,14.76,39.8,54204,3.105,2.595,7.065,0.12,0.29,0.54,0.96,16.95,22
Sundaram Money Market FundNAReg(G),Debt : Money Market,Sandeep Agarwal,Open Ended,Nifty Money Market Index,1291.6,0.5,14.83,7.92,6.97,5.69,10.335,0.0,160311,0.78,0.78,7.14,0.15,1.74,0.95,0.42,0.47,6
Sundaram Multi Asset Allocation FundNAReg(G),Hybrid : Multi Asset Allocation,Rohit Seksaria,Open Ended,NIFTY 500 NA TRI,2484.3,1.75,11.89,11.39,12.555,15.835,10.335,0.0,320718,4.02,3.19,6.58,0.56,0.32,0.63,0.5,8.02,1
Sundaram Multi Cap Fund(G),Equity : Multi Cap,Sudhir Kedia,Open Ended,Nifty500 Multicap 50:25:25 NA TRI,2615.4,2.01,355.55,7.39,15.07,24.47,14.45,60.2,105353,3.105,2.595,7.065,0.15,0.19,0.36,0.93,14.94,24
Sundaram Nifty 100 Equal Weight Fund(G),Equity : Index Funds,Rohit Seksaria,Open Ended,Nifty100 Equal Weight NA TRI,98.9,1.08,165.07,3.16,14.84,23.09,11.33,29.0,187180,3.105,2.595,7.065,0.15,0.19,0.36,0.98,15.61,25
Sundaram Overnight FundNAReg(G),Debt : Overnight,Sandeep Agarwal,Open Ended,Nifty 1D Rate Index,472.9,0.13,1355.09,6.48,6.26,4.96,10.335,0.0,160311,0.02,2.595,7.14,0.01,2.84,0.89,0.88,0.21,6
Sundaram Services FundNAReg(G),Equity : Thematic,Rohit Seksaria,Open Ended,Nifty Services Sector NA TRI,3745.6,1.91,32.98,14.92,17.36,26.89,10.335,81.0,114010,3.105,2.595,7.065,0.42,0.23,0.44,0.89,14.03,6
Sundaram Short Duration Fund(G),Debt : Short Duration,Dwijendra Srivastava,Open Ended,Nifty Short Duration Debt Index,201.9,1.14,43.92,9.35,6.97,7.71,5.96,0.0,160311,3.62,2.81,7.24,0.11,0.69,0.98,0.32,1.14,21
Sundaram Small Cap Fund(G),Equity : Small Cap,Rohit Seksaria,Open Ended,Nifty Smallcap 250 NA TRI,2955.3,1.98,232.06,1.66,17.22,31.45,13.24,66.1,13487,3.105,2.595,7.065,0.1,0.21,0.36,0.81,17.11,20
Sundaram Ultra Short Duration Fund(G),Debt : Ultra Short Duration,Sandeep Agarwal,Open Ended,NIFTY Ultra Short Duration Debt Index,1723.3,1.5,2659.96,6.59,5.87,4.73,5.27,0.0,160311,0.65,0.62,7.35,0.06,1.16,0.73,0.45,0.44,17
Tata Arbitrage FundNAReg(G),Hybrid : Arbitrage,Sailesh Jain,Open Ended,Nifty 50 Arbitrage,12789.9,1.08,14.23,7.3,6.63,5.46,10.335,508.5,175002,0.73,0.7,7.57,0.05,1.22,0.96,0.63,0.57,6
Tata Balanced Adv FundNAReg(G),Hybrid : Dynamic Asset Allocation,Rahul Singh (Tata),Open Ended,CRISIL Hybrid 50+50 NA Moderate Index,10075.2,1.64,19.89,5.13,10.84,14.04,10.335,24.35,281635,7.55,3.42,7.24,0.18,0.25,0.54,0.51,6.88,6
Tata Banking & Financial Services FundNAReg(G),Equity : Sectoral NA Financial Services,Amey Sathe,Open Ended,Nifty Financial Services NA TRI,2548.5,1.96,41.81,16.88,20.24,20.92,10.335,20.53,190138,3.105,2.595,7.065,0.31,0.26,0.55,0.93,15.48,9
Tata BSE Quality Index FundNAReg(G),Equity : Index Funds,Kapil Menon,Open Ended,BSE Quality Index NA TRI,756.8,1.04,10.46,8.43,12.555,15.835,10.335,20.84,160311,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,5
Tata BSE Select Business Groups Index FundNAReg(G),Equity : Index Funds,Kapil Menon,Open Ended,BSE Select Business Groups Index NA TRI,154.1,1.08,9.34,8.43,12.555,15.835,10.335,11.48,411934,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
Tata BSE Sensex Index FundNAReg(G),Equity : Index Funds,Kapil Menon,Open Ended,BSE SENSEX NA TRI,370.3,0.59,200.36,8.09,12.66,19.13,11.81,11.12,669845,3.105,2.595,7.065,0.15,0.16,0.32,1.0,12.73,22
Tata Business Cycle FundNAReg(G),Equity : Thematic,Rahul Singh (Tata),Open Ended,NIFTY 500 NA TRI,2734.9,1.95,17.97,1.44,19.3,15.835,10.335,52.83,135984,3.105,2.595,7.065,0.3,0.26,0.5,1.01,15.11,3
Tata Corp Bond FundNAReg(G),Debt : Corporate Bond,Abhishek Sonthalia,Open Ended,CRISIL Corporate Bond Index,3518.8,0.87,12.31,9.88,6.98,15.835,10.335,0.0,160311,5.94,3.87,7.4,0.08,0.51,0.76,0.42,1.53,3
Tata CRISIL IBX Gilt Index NA April 2026 Index FundNAReg(G),Debt : Medium Duration,Amit Somani,Open Ended,CRISIL IBX Gilt Index NA April 2026,944.3,0.36,12.02,7.84,12.555,15.835,10.335,0.0,160311,1.0,0.93,6.51,0.14,1.03,1.12,0.31,0.94,2
Tata Digital India FundNAReg(G),Equity : Sectoral NA Technology,Meeta Shetty,Open Ended,NIFTY IT NA TRI,10996.0,1.6,44.54,7.12,9.1,26.97,10.335,12.18,204836,3.105,2.595,7.065,0.18,0.06,0.1,0.88,19.47,9
Tata Dividend Yield FundNAReg(G),Equity : Thematic NA Dividend Yield,Sailesh Jain,Open Ended,NIFTY 500 NA TRI,905.4,2.25,16.8,1.35,14.75,15.835,10.335,27.4,119603,3.105,2.595,7.065,0.15,0.18,0.33,1.03,15.49,3
Tata ELSS Tax Saver FundNAReg(G),Equity : Tax Saving (ELSS),Tejas Gutka,Open Ended,NIFTY 500 NA TRI,4335.4,1.72,41.78,7.21,15.07,21.67,13.89,15.02,142269,3.105,2.595,7.065,0.15,0.19,0.37,1.0,14.94,10
Tata Equity P/E Fund(G),Equity : Value / Contra,Sonam Udasi,Open Ended,NIFTY 500 NA TRI,8003.9,1.67,329.25,3.3,19.26,23.73,14.14,67.53,126184,3.105,2.595,7.065,0.34,0.27,0.53,0.99,15.01,20
Tata Equity Savings FundNAReg(G),Hybrid : Equity Oriented,Sailesh Jain,Open Ended,NIFTY 50 Equity Savings Index,264.8,1.14,54.2,8.9,9.49,11.2,7.18,23.48,410197,4.8,3.51,6.68,0.2,0.33,0.76,0.31,4.14,24
Tata Ethical FundNAReg(G),Equity : Thematic,Abhinav Sharma,Open Ended,Nifty500 Shariah NA TRI,3216.0,1.94,368.98,0.5,10.34,19.83,11.46,30.84,86515,3.105,2.595,7.065,0.01,0.13,0.23,0.86,13.51,28
Tata Flexi Cap FundNAReg(G),Equity : Flexi Cap,Amey Sathe,Open Ended,NIFTY 500 NA TRI,2967.4,1.95,23.24,10.95,14.63,19.22,10.335,39.72,149704,3.105,2.595,7.065,0.07,0.21,0.41,0.84,12.91,6
Tata Floating Rate FundNAReg(G),Debt : Floater,Akhil Mittal,Open Ended,CRISIL Short Duration Debt Index,108.7,0.73,12.67,9.08,7.17,15.835,10.335,0.0,160311,8.26,3.5,8.2,0.18,0.97,1.06,0.17,0.88,3
Tata Focused Equity FundNAReg(G),Equity : Multi Cap,Meeta Shetty,Open Ended,NIFTY 500 NA TRI,1709.3,2.07,22.18,4.75,14.56,22.3,10.335,41.91,156741,3.105,2.595,7.065,0.15,0.18,0.34,0.98,14.83,5
Tata Gilt Securities FundNAReg(G),Debt : Gilt,Akhil Mittal,Open Ended,CRISIL Dynamic Gilt Index,1003.0,1.39,78.71,10.88,7.96,5.64,6.65,0.0,160311,25.36,10.51,6.94,0.06,0.42,0.95,0.67,2.5,25
Tata Gold ETF,Gold : ETFs,Tapan Patel,Open Ended,GoldNAIndia,513.5,0.36,9.18,31.97,12.555,15.835,10.335,20.84,160311,3.105,2.595,7.065,2.48,0.66,1.62,0.94,12.77,1
Tata Gold ETF FoFNAReg(G),FoFs : Domestic,Tapan Patel,Open Ended,GoldNAIndia,212.8,0.69,14.77,30.13,12.555,15.835,10.335,1.27,160311,3.105,2.595,7.065,2.44,0.6,1.58,0.94,13.52,1
Tata Housing Opportunities FundNAReg(G),Equity : Thematic,Tejas Gutka,Open Ended,Nifty Housing NA TRI,507.7,2.4,14.05,8.43,12.555,15.835,10.335,6.65,84456,3.105,2.595,7.065,0.27,0.2,0.35,0.76,15.41,2
Tata Hybrid Equity FundNAReg(G),Hybrid : Equity Oriented,Satish Chandra Mishra,Open Ended,CRISIL Hybrid 35+65 NA Aggressive Index,3936.2,1.94,422.86,5.18,12.45,17.67,9.81,31.87,320908,5.73,3.39,7.25,0.15,0.21,0.43,1.04,10.3,29
Tata India Consumer FundNAReg(G),Equity : Thematic NA Consumption,Sonam Udasi,Open Ended,Nifty India Consumption NA TRI,2208.3,2.04,42.13,11.05,17.21,21.93,10.335,47.4,70482,3.105,2.595,7.065,0.15,0.23,0.42,0.98,16.06,9
Tata India Innovation FundNAReg(G),Equity : Thematic,Meeta Shetty,Open Ended,NIFTY 500 NA TRI,1620.5,2.03,9.04,8.43,12.555,15.835,10.335,3.28,84747,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
Tata India Pharma & Healthcare FundNAReg(G),Equity : Sectoral NA Pharma,Meeta Shetty,Open Ended,NIFTY PHARMA NA TRI,1183.7,2.17,29.35,15.75,20.32,22.02,10.335,11.69,51532,3.105,2.595,7.065,0.24,0.28,0.56,0.93,15.49,9
Tata Infrastructure FundNAReg(G),Equity : Sectoral NA Infrastructure,Abhinav Sharma,Open Ended,BSE India Infrastructure Index NA TRI,2033.1,2.11,158.48,8.43,19.71,29.6,14.08,19.1,42871,3.105,2.595,7.065,2.34,0.24,0.44,0.74,18.68,20
Tata Large & Mid Cap FundNAReg(G),Equity : Large & Mid Cap,Chandraprakash Padiyar,Open Ended,NIFTY LargeMidcap 250 NA TRI,8057.6,1.67,502.97,5.06,16.32,22.27,13.27,10.21,138195,3.105,2.595,7.065,0.09,0.25,0.51,0.86,13.44,32
Tata Large Cap FundNAReg(G),Equity : Large Cap,Abhinav Sharma,Open Ended,NIFTY 100 NA TRI,2452.6,2.05,483.97,5.92,14.4,21.37,11.75,34.14,309738,3.105,2.595,7.065,0.09,0.19,0.39,0.96,13.43,26
Tata Liquid FundNAReg(G),Debt : Liquid,Amit Somani,Open Ended,CRISIL Liquid Debt Index,19073.5,0.32,4069.35,7.27,6.77,5.4,6.26,0.0,160311,0.21,0.21,7.06,0.15,2.33,0.97,1.17,0.31,20
Tata Mid Cap Growth FundNAReg(G),Equity : Mid Cap,Satish Chandra Mishra,Open Ended,Nifty Midcap 150 NA TRI,4333.2,1.88,399.6,3.22,18.67,26.63,14.88,28.52,45978,3.105,2.595,7.065,0.15,0.25,0.47,0.9,16.03,30
Tata Money Market FundNAReg(G),Debt : Money Market,Amit Somani,Open Ended,CRISIL Money Market Index,26844.1,0.42,4672.34,8.0,7.16,6.18,6.05,0.0,160311,0.89,0.89,7.24,0.14,1.56,0.99,0.59,0.55,21
Tata Multi Asset Opp FundNAReg(G),Hybrid : Multi Asset Allocation,Rahul Singh (Tata),Open Ended,BSE 200,3554.1,1.81,22.54,7.31,13.52,18.46,10.335,17.87,186873,8.4,3.99,7.19,0.26,0.27,0.56,0.6,8.61,5
Tata Multicap FundNAReg(G),Equity : Multi Cap,Meeta Shetty,Open Ended,Nifty500 Multicap 50:25:25 NA TRI,2863.1,1.84,13.19,8.43,12.555,15.835,10.335,44.45,93775,3.105,2.595,7.065,0.15,0.19,0.33,0.95,14.13,2
Tata Nifty 50 ETF,Equity : ETFs,Kapil Menon,Open Ended,NIFTY 50 NA TRI,671.3,0.08,260.45,8.69,13.67,21.07,10.335,11.05,541785,3.105,2.595,7.065,0.15,0.18,0.36,1.0,12.97,6
Tata NIFTY 50 Index FundNAReg(G),Equity : Index Funds,Kapil Menon,Open Ended,NIFTY 50 NA TRI,1140.5,0.51,150.49,8.06,13.07,20.27,11.91,9.47,541666,3.105,2.595,7.065,0.15,0.17,0.34,1.0,12.98,22
Tata Nifty Auto Index FundNAReg(G),Equity : Sectoral NA Auto,Kapil Menon,Open Ended,NIFTY AUTO NA TRI,72.2,1.05,10.0,8.43,12.555,15.835,10.335,15.86,178888,3.105,2.595,7.065,0.15,0.28,0.55,0.99,18.37,0
Tata Nifty Capital Markets Index FundNAReg(G),Equity : Index Funds,Kapil Menon,Open Ended,Nifty Capital Markets Index NA TRI,148.3,1.05,10.13,8.43,12.555,15.835,10.335,20.59,37708,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
Tata Nifty Financial Services Index FundNAReg(G),Equity : Index Funds,Kapil Menon,Open Ended,Nifty Financial Services NA TRI,90.0,0.97,12.1,21.4,12.555,15.835,10.335,26.0,631359,3.105,2.595,7.065,0.15,0.28,0.58,1.0,14.98,0
Tata Nifty GNASec Dec 2026 Index FundNAReg(G),Debt : Medium Duration,Amit Somani,Open Ended,Nifty GNAsec Dec 2026 Index,91.6,0.45,11.79,8.4,12.555,15.835,10.335,0.0,160311,1.63,1.48,6.53,0.11,0.92,1.17,0.37,1.06,2
Tata Nifty GNASec Dec 2029 Index FundNAReg(G),Debt : Medium to Long Duration,Amit Somani,Open Ended,Nifty GNASec Dec 2029 Index,180.9,0.46,12.1,10.88,12.555,15.835,10.335,0.0,160311,4.27,3.56,6.57,0.07,0.77,1.44,0.68,1.7,2
Tata Nifty India Digital ETF,Equity : ETFs,Kapil Menon,Open Ended,Nifty India Digital  NA TRI,157.6,0.41,86.76,9.15,12.94,15.835,10.335,39.12,153979,3.105,2.595,7.065,0.15,0.11,0.18,1.0,18.68,3
Tata Nifty India Digital ETF FoFNAReg(G),FoFs : Domestic,Kapil Menon,Open Ended,Nifty India Digital  NA TRI,105.4,0.48,13.44,8.25,12.28,15.835,10.335,20.84,160311,3.105,2.595,7.065,0.15,0.14,0.24,0.97,17.7,2
Tata Nifty India Tourism Index FundNAReg(G),Equity : Index Funds,Kapil Menon,Open Ended,Nifty India Tourism Index NA TRI,279.5,1.05,10.24,8.43,12.555,15.835,10.335,50.54,60636,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
Tata Nifty Midcap 150 Momentum 50 Index FundNAReg(G),Equity : Index Funds,Kapil Menon,Open Ended,Nifty Midcap150 Momentum 50 NA TRI,752.7,1.02,16.7,1.27,12.555,15.835,10.335,101.2,66476,3.105,2.595,7.065,0.15,0.27,0.47,1.0,18.98,2
Tata Nifty MidSmall Healthcare Index FundNAReg(G),Equity : Index Funds,Kapil Menon,Open Ended,Nifty MidSmall Healthcare NA TRI,133.5,1.1,11.92,19.32,12.555,15.835,10.335,17.63,47582,3.105,2.595,7.065,0.15,0.27,0.51,0.99,17.92,0
Tata Nifty Pvt Bank ETF,Equity : ETFs,Kapil Menon,Open Ended,Nifty Private Bank NA TRI,11.7,0.14,281.88,12.81,14.92,19.0,10.335,43.75,409528,3.105,2.595,7.065,0.15,0.16,0.34,1.0,15.85,5
Tata Nifty Realty Index FundNAReg(G),Equity : Index Funds,Kapil Menon,Open Ended,NIFTY REALTY NA TRI,48.5,1.05,9.03,8.43,12.555,15.835,10.335,98.77,68754,3.105,2.595,7.065,0.15,0.28,0.55,0.99,29.52,0
Tata Nifty SDL Plus AAA PSU Bond Dec 2027 60:40 Index FundNAReg(G),Debt : Medium to Long Duration,Amit Somani,Open Ended,Nifty SDL Plus AAA PSU Bond Dec 2027 60: 40 Index NA TRI,855.9,0.47,12.25,9.31,7.12,15.835,10.335,0.0,160311,2.56,2.22,7.01,0.02,0.41,0.65,0.59,2.0,3
Tata Nifty200 Alpha 30 Index FundNAReg(G),Equity : Index Funds,Kapil Menon,Open Ended,Nifty200 Alpha 30 NA TRI,185.8,1.07,7.93,8.43,12.555,15.835,10.335,146.0,115763,3.105,2.595,7.065,0.15,0.28,0.55,0.94,12.62,0
Tata Nifty500 Multicap India Manufacturing 50:30:20 Index FundNAReg(G),Equity : Index Funds,Kapil Menon,Open Ended,Nifty500 Multicap India Manufacturing 50:30:20 NA TRI,114.5,1.1,10.48,5.18,12.555,15.835,10.335,34.77,115783,3.105,2.595,7.065,0.15,0.28,0.55,1.0,16.03,0
Tata Nifty500 Multicap Infrastructure 50:30:20 Index FundNAReg(G),Equity : Index Funds,Kapil Menon,Open Ended,Nifty500 Multicap Infrastructure 50:30:20 NA TRI,75.2,1.05,10.16,1.85,12.555,15.835,10.335,51.9,140581,3.105,2.595,7.065,0.15,0.28,0.55,1.0,18.48,0
Tata Overnight FundNAReg(G),Debt : Overnight,Amit Somani,Open Ended,CRISIL Liquid Overnight Index,1774.0,0.18,1344.88,6.49,6.25,4.97,10.335,0.0,160311,0.02,0.02,7.3,0.15,2.76,0.89,0.91,0.21,6
Tata Quant FundNAReg(G),Equity : Thematic,Sailesh Jain,Open Ended,BSE 200 NA TRI,61.7,2.42,14.13,6.11,12.21,14.31,10.335,331.98,132107,3.105,2.595,7.065,0.15,0.17,0.32,0.91,14.49,5
Tata Resources & Energy FundNAReg(G),Equity : Sectoral NA Energy / Power,Satish Chandra Mishra,Open Ended,NIFTY COMMODITIES NA TRI,1048.3,2.17,42.52,3.06,12.75,25.55,10.335,23.49,78002,3.105,2.595,7.065,0.1,0.14,0.24,0.86,17.4,9
Tata Retirement Sav Fund NA Cons Plan(G),Hybrid : Solution Oriented,Sonam Udasi,Open Ended,CRISIL Short Term Debt Hybrid 75+25 Index,172.1,2.18,30.95,7.37,7.97,8.37,7.79,0.0,101929,6.34,4.05,6.8,0.15,0.2,0.39,1.1,4.8,13
Tata Retirement Sav Fund NA Mod Plan(G),Hybrid : Solution Oriented,Sonam Udasi,Open Ended,CRISIL Hybrid 25+75 NA Aggressive Index,2008.5,2.05,61.03,8.79,13.77,16.74,11.74,41.01,100185,3.105,2.595,7.065,0.17,0.2,0.38,0.8,12.11,13
Tata Retirement Sav Fund NA Prog Plan(G),Hybrid : Solution Oriented,Sonam Udasi,Open Ended,NIFTY 500 NA TRI,1914.2,2.04,61.46,7.41,14.53,17.94,12.87,52.42,93427,3.105,2.595,7.065,0.01,0.19,0.34,0.92,14.26,13
Tata Silver ETF,Gold : ETFs,Tapan Patel,Open Ended,Silver,164.4,0.45,9.24,19.01,12.555,15.835,10.335,20.84,160311,3.105,2.595,7.065,3.02,0.33,0.65,0.94,20.31,1
Tata Silver ETF FoFNAReg(G),FoFs : Domestic,Tapan Patel,Open Ended,Silver,96.9,0.6,12.91,18.23,12.555,15.835,10.335,9.71,160311,3.105,2.595,7.065,2.91,0.32,0.67,0.94,19.95,1
Tata Small Cap FundNAReg(G),Equity : Small Cap,Chandraprakash Padiyar,Open Ended,Nifty Smallcap 250 NA TRI,9203.2,1.65,35.94,2.65,19.18,33.52,10.335,11.05,9556,3.105,2.595,7.065,0.45,0.28,0.49,0.75,16.56,6
Tata ST Bond FundNAReg(G),Debt : Short Duration,Murthy Nagarajan,Open Ended,CRISIL Short Duration Debt Index,2834.5,1.2,47.58,8.92,6.63,6.06,6.13,0.0,160311,3.86,2.8,7.23,0.08,0.58,0.87,0.35,1.2,22
Tata Treasury Advantage FundNAReg(G),Debt : Low Duration,Akhil Mittal,Open Ended,CRISIL Low Duration Debt Index,2324.4,0.59,3888.84,7.87,6.68,6.04,6.28,0.0,160311,1.2,0.96,7.35,0.15,1.13,0.89,1.3,0.65,19
Tata Ultra Short Term FundNAReg(G),Debt : Ultra Short Duration,Akhil Mittal,Open Ended,CRISIL Ultra Short Term Debt Index,3937.6,1.12,14.03,7.18,6.32,5.25,10.335,0.0,160311,0.63,0.57,7.48,0.15,1.36,0.86,1.12,0.47,6
Tata Young Citizen Fund,Hybrid : Solution Oriented,Amey Sathe,Open Ended,NIFTY 500 NA TRI,340.2,2.5,59.25,5.91,13.86,21.37,11.02,43.02,101540,1.86,1.55,5.57,0.15,0.18,0.34,0.9,13.62,29
Taurus Banking & Fin Serv FundNAReg(G),Equity : Sectoral NA Financial Services,Anuj Kapil,Open Ended,BSE BANKEX NA TRI,11.1,2.31,52.63,8.09,16.45,19.95,11.8,31.0,407454,3.105,2.595,7.065,0.13,0.2,0.42,0.96,15.39,12
Taurus ELSS Tax Saver FundNAReg(G),Equity : Tax Saving (ELSS),Anuj Kapil,Open Ended,BSE 500 NA TRI,75.7,2.51,176.36,6.74,16.03,20.8,12.75,65.0,187326,3.105,2.595,7.065,0.27,0.26,0.49,0.8,12.62,29
Taurus Ethical FundNAReg(G),Equity : Multi Cap,Anuj Kapil,Open Ended,BSE 500 Shariah NA TRI,274.3,2.46,120.53,1.36,12.78,19.44,11.76,105.0,135020,3.105,2.595,7.065,0.27,0.16,0.32,0.98,15.02,16
Taurus Flexi Cap FundNAReg(G),Equity : Flexi Cap,Anuj Kapil,Open Ended,BSE 500 NA TRI,338.0,2.61,215.45,1.96,12.48,19.01,9.11,73.0,144044,3.105,2.595,2.9,0.15,0.15,0.29,1.02,15.68,31
Taurus Infrastructure FundNAReg(G),Equity : Sectoral NA Infrastructure,Anuj Kapil,Open Ended,Nifty Infrastructure NA TRI,8.5,2.51,62.46,8.43,16.3,24.23,13.23,88.0,84191,3.105,2.595,7.065,0.15,0.19,0.35,1.0,17.79,18
Taurus Large Cap FundNAReg(G),Equity : Large Cap,Anuj Kapil,Open Ended,BSE 100 NA TRI,46.9,2.55,150.66,3.89,13.42,18.82,9.44,82.0,315797,3.105,2.595,7.065,0.15,0.16,0.3,1.09,16.09,30
Taurus Mid Cap FundNAReg(G),Equity : Mid Cap,Anuj Kapil,Open Ended,Nifty Midcap 150 NA TRI,114.4,2.52,111.85,8.43,14.63,22.98,14.5,98.0,34322,3.105,2.595,7.065,0.15,0.18,0.33,0.98,17.61,30
Taurus Nifty 50 Index FundNAReg(G),Equity : Index Funds,Anuj Kapil,Open Ended,NIFTY 50 NA TRI,5.4,1.09,46.09,7.38,12.48,20.02,11.62,6.0,544537,3.105,2.595,7.065,0.15,0.16,0.32,0.99,12.87,14
Templeton India Equity Income Fund(G),Equity : Thematic NA Dividend Yield,Rajasa Kakulavarapu,Open Ended,NIFTY 500 NA TRI,2285.8,2.07,135.12,4.73,17.48,29.81,14.6,10.1,185082,3.105,2.595,7.065,0.43,0.28,0.61,0.73,12.51,18
Templeton India Value Fund(G),Equity : Value / Contra,Ajay Argal,Open Ended,NIFTY 500 NA TRI,2078.7,2.1,693.14,4.51,19.7,30.42,14.39,32.94,168305,3.105,2.595,7.065,0.34,0.27,0.58,0.93,14.07,21
